sect_class,section,class,subclass,section_text,class_text,subclass_text
A01,A,01,N,"('HUMAN NECESSITIES',)","('AGRICULTURE', 'FORESTRY', 'ANIMAL HUSBANDRY', 'HUNTING', 'TRAPPING', 'FISHING')","('PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF ', 'BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES ', 'PEST REPELLANTS OR ATTRACTANTS', 'PLANT GROWTH REGULATORS')"
A21,A,21,B,"('HUMAN NECESSITIES',)","('BAKING', 'EDIBLE DOUGHS')","(""BAKERS' OVENS"", 'MACHINES OR EQUIPMENT FOR BAKING ')"
A21,A,21,C,"('HUMAN NECESSITIES',)","('BAKING', 'EDIBLE DOUGHS')","('MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS', 'HANDLING BAKED ARTICLES MADE FROM DOUGH')"
A21,A,21,D,"('HUMAN NECESSITIES',)","('BAKING', 'EDIBLE DOUGHS')","('TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS', 'BAKING', 'BAKERY PRODUCTS', 'PRESERVATION THEREOF')"
A22,A,22,B,"('HUMAN NECESSITIES',)","('BUTCHERING', 'MEAT TREATMENT', 'PROCESSING POULTRY OR FISH')","('SLAUGHTERING',)"
A22,A,22,C,"('HUMAN NECESSITIES',)","('BUTCHERING', 'MEAT TREATMENT', 'PROCESSING POULTRY OR FISH')","('PROCESSING MEAT, POULTRY, OR FISH ',)"
A23,A,23,B,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS', 'CHEMICAL RIPENING OF FRUIT OR VEGETABLES', 'THE PRESERVED, RIPENED, OR CANNED PRODUCTS')"
A23,A,23,C,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE', 'MILK OR CHEESE SUBSTITUTES', 'MAKING THEREOF ')"
A23,A,23,D,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('EDIBLE OILS OR FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS ',)"
A23,A,23,F,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('COFFEE', 'TEA', 'THEIR SUBSTITUTES', 'MANUFACTURE, PREPARATION, OR INFUSION THEREOF')"
A23,A,23,G,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('COCOA', 'COCOA PRODUCTS, e.g. CHOCOLATE', 'SUBSTITUTES FOR COCOA OR COCOA PRODUCTS', 'CONFECTIONERY', 'CHEWING GUM', 'ICE-CREAM', 'PREPARATION THEREOF')"
A23,A,23,J,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('PROTEIN COMPOSITIONS FOR FOODSTUFFS', 'WORKING-UP PROTEINS FOR FOODSTUFFS', 'PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS')"
A23,A,23,K,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('FODDER',)"
A23,A,23,L,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES ', 'THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT ', 'PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL')"
A23,A,23,N,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR', 'PEELING VEGETABLES OR FRUIT IN BULK', 'APPARATUS FOR PREPARING ANIMAL FEEDING- STUFFS ')"
A23,A,23,P,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS',)"
A23,A,23,V,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES',)"
A23,A,23,Y,"('HUMAN NECESSITIES',)","('FOODS OR FOODSTUFFS', 'TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES')","('INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION',)"
A24,A,24,B,"('HUMAN NECESSITIES',)","('TOBACCO', 'CIGARS', 'CIGARETTES', 'SIMULATED SMOKING DEVICES', ""SMOKERS' REQUISITES"")","('MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING', 'TOBACCO', 'SNUFF')"
A24,A,24,C,"('HUMAN NECESSITIES',)","('TOBACCO', 'CIGARS', 'CIGARETTES', 'SIMULATED SMOKING DEVICES', ""SMOKERS' REQUISITES"")","('MACHINES FOR MAKING CIGARS OR CIGARETTES',)"
A24,A,24,D,"('HUMAN NECESSITIES',)","('TOBACCO', 'CIGARS', 'CIGARETTES', 'SIMULATED SMOKING DEVICES', ""SMOKERS' REQUISITES"")","('CIGARS', 'CIGARETTES', 'TOBACCO SMOKE FILTERS', 'MOUTHPIECES FOR CIGARS OR CIGARETTES', 'MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES')"
A24,A,24,F,"('HUMAN NECESSITIES',)","('TOBACCO', 'CIGARS', 'CIGARETTES', 'SIMULATED SMOKING DEVICES', ""SMOKERS' REQUISITES"")","(""SMOKERS' REQUISITES"", 'MATCH BOXES', 'SIMULATED SMOKING DEVICES ')"
A41,A,41,B,"('HUMAN NECESSITIES',)","('WEARING APPAREL',)","('SHIRTS', 'UNDERWEAR', 'BABY LINEN', 'HANDKERCHIEFS')"
A41,A,41,C,"('HUMAN NECESSITIES',)","('WEARING APPAREL',)","('CORSETS', 'BRASSIERES')"
A41,A,41,D,"('HUMAN NECESSITIES',)","('WEARING APPAREL',)","('OUTERWEAR', 'PROTECTIVE GARMENTS', 'ACCESSORIES')"
A41,A,41,F,"('HUMAN NECESSITIES',)","('WEARING APPAREL',)","('GARMENT FASTENINGS', 'SUSPENDERS')"
A41,A,41,G,"('HUMAN NECESSITIES',)","('WEARING APPAREL',)","('ARTIFICIAL FLOWERS', 'WIGS', 'MASKS', 'FEATHERS')"
A41,A,41,H,"('HUMAN NECESSITIES',)","('WEARING APPAREL',)","('APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR ',)"
A42,A,42,B,"('HUMAN NECESSITIES',)","('HEADWEAR',)","('HATS', 'HEAD COVERINGS ')"
A42,A,42,C,"('HUMAN NECESSITIES',)","('HEADWEAR',)","('MANUFACTURING OR TRIMMING HEAD COVERINGS, e.g. HATS',)"
A43,A,43,B,"('HUMAN NECESSITIES',)","('FOOTWEAR',)","('CHARACTERISTIC FEATURES OF FOOTWEAR', 'PARTS OF FOOTWEAR')"
A43,A,43,C,"('HUMAN NECESSITIES',)","('FOOTWEAR',)","('FASTENINGS OR ATTACHMENTS OF FOOTWEAR', 'LACES IN GENERAL')"
A43,A,43,D,"('HUMAN NECESSITIES',)","('FOOTWEAR',)","('MACHINES, TOOLS, EQUIPMENT OR METHODS FOR MANUFACTURING OR REPAIRING FOOTWEAR',)"
A44,A,44,B,"('HUMAN NECESSITIES',)","('HABERDASHERY', 'JEWELLERY')","('BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE ',)"
A44,A,44,C,"('HUMAN NECESSITIES',)","('HABERDASHERY', 'JEWELLERY')","('PERSONAL ADORNMENTS, e.g. JEWELLERY', 'COINS')"
A44,A,44,D,"('HUMAN NECESSITIES',)","('HABERDASHERY', 'JEWELLERY')","('INDEXING SCHEME RELATING TO BUTTONS, PINS, BUCKLES OR SLIDE FASTENERS, AND TO JEWELLERY, BRACELETS OR OTHER PERSONAL ADORNMENTS',)"
A45,A,45,B,"('HUMAN NECESSITIES',)","('HAND OR TRAVELLING ARTICLES',)","('WALKING STICKS ', 'UMBRELLAS', ""LADIES' OR LIKE FANS "")"
A45,A,45,C,"('HUMAN NECESSITIES',)","('HAND OR TRAVELLING ARTICLES',)","('PURSES', 'LUGGAGE', 'HAND CARRIED BAGS')"
A45,A,45,D,"('HUMAN NECESSITIES',)","('HAND OR TRAVELLING ARTICLES',)","('HAIRDRESSING OR SHAVING EQUIPMENT ', 'EQUIPMENT FOR COSMETICS OR COSMETIC TREATMENTS, e.g. FOR MANICURING OR PEDICURING')"
A45,A,45,F,"('HUMAN NECESSITIES',)","('HAND OR TRAVELLING ARTICLES',)","('TRAVELLING OR CAMP EQUIPMENT: SACKS OR PACKS CARRIED ON THE BODY',)"
A46,A,46,B,"('HUMAN NECESSITIES',)","('BRUSHWARE',)","('BRUSHES ',)"
A46,A,46,D,"('HUMAN NECESSITIES',)","('BRUSHWARE',)","('MANUFACTURE OF BRUSHES',)"
A47,A,47,B,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('TABLES', 'DESKS', 'OFFICE FURNITURE', 'CABINETS', 'DRAWERS', 'GENERAL DETAILS OF FURNITURE ')"
A47,A,47,C,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('CHAIRS ', 'SOFAS', 'BEDS ')"
A47,A,47,D,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('FURNITURE SPECIALLY ADAPTED FOR CHILDREN ',)"
A47,A,47,F,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE', 'PAYING COUNTERS')"
A47,A,47,G,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('HOUSEHOLD OR TABLE EQUIPMENT ',)"
A47,A,47,H,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('FURNISHINGS FOR WINDOWS OR DOORS ',)"
A47,A,47,J,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('KITCHEN EQUIPMENT', 'COFFEE MILLS', 'SPICE MILLS', 'APPARATUS FOR MAKING BEVERAGES')"
A47,A,47,K,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR ', 'TOILET ACCESSORIES ')"
A47,A,47,L,"('HUMAN NECESSITIES',)","('FURNITURE', 'DOMESTIC ARTICLES OR APPLIANCES', 'COFFEE MILLS', 'SPICE MILLS', 'SUCTION CLEANERS IN GENERAL')","('DOMESTIC WASHING OR CLEANING ', 'SUCTION CLEANERS IN GENERAL ')"
A61,A,61,B,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('DIAGNOSIS', 'SURGERY', 'IDENTIFICATION ')"
A61,A,61,C,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('DENTISTRY', 'APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE ')"
A61,A,61,D,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS',)"
A61,A,61,F,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('FILTERS IMPLANTABLE INTO BLOOD VESSELS', 'PROSTHESES', 'DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS', 'ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES', 'FOMENTATION', 'TREATMENT OR PROTECTION OF EYES OR EARS', 'BANDAGES, DRESSINGS OR ABSORBENT PADS', 'FIRST-AID KITS ')"
A61,A,61,G,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS ', 'OPERATING TABLES OR CHAIRS', 'CHAIRS FOR DENTISTRY', 'FUNERAL DEVICES ')"
A61,A,61,H,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY', 'ARTIFICIAL RESPIRATION', 'MASSAGE', 'BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY ')"
A61,A,61,J,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES', 'DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS', 'DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY', 'BABY COMFORTERS', 'DEVICES FOR RECEIVING SPITTLE')"
A61,A,61,K,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ',)"
A61,A,61,L,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL', 'DISINFECTION, STERILISATION, OR DEODORISATION OF AIR', 'CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES', 'MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES ')"
A61,A,61,M,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ', 'DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ', 'DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR ')"
A61,A,61,N,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('ELECTROTHERAPY', 'MAGNETOTHERAPY', 'RADIATION THERAPY', 'ULTRASOUND THERAPY ')"
A61,A,61,P,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS',)"
A61,A,61,Q,"('HUMAN NECESSITIES',)","('MEDICAL OR VETERINARY SCIENCE', 'HYGIENE')","('SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS',)"
A62,A,62,B,"('HUMAN NECESSITIES',)","('LIFE-SAVING', 'FIRE-FIGHTING')","('DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING ',)"
A62,A,62,C,"('HUMAN NECESSITIES',)","('LIFE-SAVING', 'FIRE-FIGHTING')","('FIRE-FIGHTING ',)"
A62,A,62,D,"('HUMAN NECESSITIES',)","('LIFE-SAVING', 'FIRE-FIGHTING')","('CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS', 'CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS')"
A63,A,63,B,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING', 'BALL GAMES', 'TRAINING EQUIPMENT ')"
A63,A,63,C,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('SKATES', 'SKIS', 'ROLLER SKATES', 'DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ')"
A63,A,63,D,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLS', 'INSTALLATIONS THEREFOR', 'BAGATELLE OR SIMILAR GAMES', 'BILLIARDS ')"
A63,A,63,F,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('CARD, BOARD, OR ROULETTE GAMES', 'INDOOR GAMES USING SMALL MOVING PLAYING BODIES', 'VIDEO GAMES', 'GAMES NOT OTHERWISE PROVIDED FOR')"
A63,A,63,G,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('MERRY-GO-ROUNDS', 'SWINGS', 'ROCKING-HORSES', 'CHUTES', 'SWITCHBACKS', 'SIMILAR DEVICES FOR PUBLIC AMUSEMENT')"
A63,A,63,H,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('TOYS, e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS',)"
A63,A,63,J,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE', 'CONJURING APPLIANCES OR THE LIKE')"
A63,A,63,K,"('HUMAN NECESSITIES',)","('SPORTS', 'GAMES', 'AMUSEMENTS')","('RACING', 'RIDING SPORTS', 'EQUIPMENT OR ACCESSORIES THEREFOR ')"
A99,A,99,Z,"('HUMAN NECESSITIES',)","('SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION',)","('SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION',)"
B01,B,01,B,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL',)","('BOILING', 'BOILING APPARATUS ')"
B01,B,01,D,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL',)","('SEPARATION ',)"
B01,B,01,F,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL',)","('MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING ',)"
B01,B,01,J,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL',)","('CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY', 'THEIR RELEVANT APPARATUS')"
B01,B,01,L,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL',)","('CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE ',)"
B02,B,02,B,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('CRUSHING, PULVERISING, OR DISINTEGRATING', 'PREPARATORY TREATMENT OF GRAIN FOR MILLING')","('PREPARING GRAIN FOR MILLING', 'REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE ')"
B02,B,02,C,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('CRUSHING, PULVERISING, OR DISINTEGRATING', 'PREPARATORY TREATMENT OF GRAIN FOR MILLING')","('CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL', 'MILLING GRAIN ')"
B03,B,03,B,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS', 'MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS', 'SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS')","('SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS ',)"
B03,B,03,C,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS', 'MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS', 'SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS')","('MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS', 'SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS ')"
B03,B,03,D,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS', 'MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS', 'SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS')","('FLOTATION', 'DIFFERENTIAL SEDIMENTATION ')"
B04,B,04,B,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES',)","('CENTRIFUGES ',)"
B04,B,04,C,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('CENTRIFUGAL APPARATUS OR MACHINES FOR CARRYING-OUT PHYSICAL OR CHEMICAL PROCESSES',)","('APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES ',)"
B05,B,05,B,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('SPRAYING OR ATOMISING IN GENERAL', 'APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL')","('SPRAYING APPARATUS', 'ATOMISING APPARATUS', 'NOZZLES ')"
B05,B,05,C,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('SPRAYING OR ATOMISING IN GENERAL', 'APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL')","('APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL ',)"
B05,B,05,D,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('SPRAYING OR ATOMISING IN GENERAL', 'APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL')","('PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL ',)"
B06,B,06,B,"('PERFORMING OPERATIONS', 'TRANSPORTING')","('GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL',)","('METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, ', ' FOR PERFORMING MECHANICAL WORK IN GENERAL ')"
